"Abu-Hayyan_1" "al-Baghawi_1" "al-Baydawi_1" "al-Khazin_1" "al-Mawardi_1" "al-Nasafi_1" "al-Qurtubi_1" "al-Razi_1" "al-Suyuti_1" "al-Tabari_1" "al-Zamakhshari_1" "Fairuzabadi_1" "Ibn-Abd-al-Salam_1" "Ibn-al-Jawzi_1" "Ibn-Arafa_1" "Ibn-Atiya_1" "Ibn-Kathir_1" "Samarqandi_1"
"فقال" 0.124 0.384 0.1 0.346666666666667 0.132 0.153333333333333 0.305333333333333 0.250666666666667 0.036 0.32 0.188 0.206666666666667 0.154666666666667 0.284 0.257333333333333 0.221333333333333 0.446666666666667 0.390666666666667
"إن" 0.276 0.213333333333333 0.190666666666667 0.518666666666667 0.194666666666667 0.213333333333333 0.282666666666667 0.257333333333333 0.132 0.210666666666667 0.170666666666667 0.130666666666667 0.141333333333333 0.106666666666667 0.389333333333333 0.325333333333333 0.234666666666667 0.301333333333333
"إذا" 0.244 0.281333333333333 0.209333333333333 0.28 0.264 0.276 0.296 0.326666666666667 0.105333333333333 0.221333333333333 0.325333333333333 0.0973333333333333 0.244 0.148 0.302666666666667 0.232 0.166666666666667 0.26
"إلا" 0.289333333333333 0.230666666666667 0.198666666666667 0.305333333333333 0.170666666666667 0.270666666666667 0.258666666666667 0.345333333333333 0.0786666666666667 0.177333333333333 0.288 0.125333333333333 0.22 0.122666666666667 0.274666666666667 0.272 0.244 0.22
"وقيل" 0.474666666666667 0.373333333333333 0.377333333333333 0.857333333333333 0.0613333333333333 0.253333333333333 0.521333333333333 0.0693333333333333 0.0666666666666667 0.016 0.469333333333333 0.00133333333333333 0.0186666666666667 0.110666666666667 0.101333333333333 0.16 0.0426666666666667 0.00533333333333333
"أبو" 0.212 0.486666666666667 0.0506666666666667 0.0946666666666667 0.164 0.0546666666666667 0.302666666666667 0.0666666666666667 0.0106666666666667 0.469333333333333 0.0813333333333333 0.064 0.0653333333333333 0.426666666666667 0.18 0.548 0.356 0.149333333333333
"كما" 0.293333333333333 0.189333333333333 0.194666666666667 0.138666666666667 0.137333333333333 0.248 0.242666666666667 0.181333333333333 0.166666666666667 0.226666666666667 0.354666666666667 0.0986666666666667 0.14 0.172 0.172 0.225333333333333 0.306666666666667 0.177333333333333
"لهم" 0.213333333333333 0.173333333333333 0.189333333333333 0.293333333333333 0.157333333333333 0.229333333333333 0.146666666666667 0.142666666666667 0.306666666666667 0.149333333333333 0.256 0.222666666666667 0.122666666666667 0.189333333333333 0.16 0.202666666666667 0.161333333333333 0.22
"عباس" 0.194666666666667 0.301333333333333 0.0133333333333333 0.288 0.510666666666667 0.048 0.244 0.048 0.0266666666666667 0.169333333333333 0.072 0.0626666666666667 0.084 0.581333333333333 0.032 0.266666666666667 0.369333333333333 0.144
"هذه" 0.249333333333333 0.177333333333333 0.064 0.264 0.144 0.104 0.206666666666667 0.502666666666667 0.044 0.124 0.126666666666667 0.0813333333333333 0.0653333333333333 0.246666666666667 0.173333333333333 0.488 0.224 0.130666666666667
"لأن" 0.296 0.0826666666666667 0.213333333333333 0.209333333333333 0.162666666666667 0.294666666666667 0.174666666666667 0.312 0.024 0.0893333333333333 0.142666666666667 0.0226666666666667 0.161333333333333 0.152 0.514666666666667 0.196 0.0293333333333333 0.118666666666667
"يكون" 0.346666666666667 0.0893333333333333 0.172 0.162666666666667 0.133333333333333 0.136 0.226666666666667 0.438666666666667 0.0333333333333333 0.0773333333333333 0.242666666666667 0.096 0.0786666666666667 0.146666666666667 0.344 0.278666666666667 0.072 0.114666666666667
