"Abu-Hayyan_1" "al-Baghawi_1" "al-Baydawi_1" "al-Khazin_1" "al-Mawardi_1" "al-Nasafi_1" "al-Qurtubi_1" "al-Razi_1" "al-Suyuti_1" "al-Tabari_1" "al-Zamakhshari_1" "Fairuzabadi_1" "Ibn-Abd-al-Salam_1" "Ibn-al-Jawzi_1" "Ibn-Arafa_1" "Ibn-Atiya_1" "Ibn-Kathir_1" "Samarqandi_1"
"إسحاق" 0.0226666666666667 0.056 0.00266666666666667 0.012 0.028 0 0.0346666666666667 0.004 0.00266666666666667 0.136 0.00533333333333333 0.00133333333333333 0.008 0.00533333333333333 0.0106666666666667 0.0386666666666667 0.101333333333333 0.0213333333333333
"ويجوز" 0.064 0.00666666666666667 0.08 0.00133333333333333 0.004 0.0453333333333333 0.0666666666666667 0.02 0.00133333333333333 0.00133333333333333 0.14 0 0.00533333333333333 0.0186666666666667 0.004 0.0253333333333333 0.00133333333333333 0.00533333333333333
"الخير" 0.0213333333333333 0.0293333333333333 0.0226666666666667 0.0306666666666667 0.024 0.0346666666666667 0.00933333333333333 0.0253333333333333 0.0173333333333333 0.0106666666666667 0.0386666666666667 0.056 0.0506666666666667 0.032 0.0293333333333333 0.0253333333333333 0.00933333333333333 0.0226666666666667
"الليل" 0.028 0.024 0.012 0.0373333333333333 0.0493333333333333 0.0333333333333333 0.0413333333333333 0.024 0.00933333333333333 0.0146666666666667 0.0186666666666667 0.0373333333333333 0.0506666666666667 0.0373333333333333 0 0.02 0.024 0.028
"يَوْمَ" 0 0.0386666666666667 0.052 0 0.00933333333333333 0.044 0.0266666666666667 0.0266666666666667 0.08 0.0373333333333333 0.028 0.0573333333333333 0.0106666666666667 0 0.00266666666666667 0 0.036 0.04
"سبيل" 0.0746666666666667 0.024 0.024 0.04 0.0213333333333333 0.0413333333333333 0.00266666666666667 0.0506666666666667 0.0133333333333333 0.008 0.036 0.0213333333333333 0.0253333333333333 0.0213333333333333 0.0453333333333333 0.0106666666666667 0.0133333333333333 0.0146666666666667
"والثالث" 0.004 0 0 0.00266666666666667 0.114666666666667 0 0.00133333333333333 0.0133333333333333 0 0 0.00533333333333333 0 0.00666666666666667 0.324 0.004 0.004 0.00133333333333333 0.00533333333333333
"الملك" 0.0146666666666667 0.0373333333333333 0.0186666666666667 0.0546666666666667 0.028 0.0253333333333333 0.0253333333333333 0.02 0.0106666666666667 0.0133333333333333 0.036 0.028 0.0386666666666667 0.0186666666666667 0.0106666666666667 0.0333333333333333 0.024 0.048
"كَانُواْ" 0 0.0493333333333333 0.0586666666666667 0 0.004 0.048 0.0106666666666667 0.0106666666666667 0.122666666666667 0.00133333333333333 0.02 0.0813333333333333 0.00266666666666667 0 0.012 0 0.028 0.0346666666666667
"حدثني" 0 0.0266666666666667 0 0 0.00133333333333333 0 0.00266666666666667 0 0 0.330666666666667 0.00133333333333333 0 0.00133333333333333 0 0 0.00133333333333333 0.109333333333333 0.00533333333333333
"كلام" 0.0653333333333333 0.016 0.0133333333333333 0.0146666666666667 0.0146666666666667 0.032 0.032 0.032 0.0106666666666667 0.0253333333333333 0.0413333333333333 0.016 0.0186666666666667 0.0186666666666667 0.056 0.0466666666666667 0.0133333333333333 0.0133333333333333
"تقدم" 0.0506666666666667 0.00266666666666667 0.0133333333333333 0.0373333333333333 0.012 0.0106666666666667 0.04 0.0493333333333333 0.0106666666666667 0.00266666666666667 0.012 0 0.016 0.0266666666666667 0.0573333333333333 0.068 0.0626666666666667 0.00666666666666667
"سورة" 0.0226666666666667 0.0306666666666667 0.0373333333333333 0.0306666666666667 0.00933333333333333 0.0133333333333333 0.032 0.036 0.00666666666666667 0.0186666666666667 0.0253333333333333 0.004 0.012 0.036 0.0706666666666667 0.0293333333333333 0.0373333333333333 0.0266666666666667
"إليها" 0.0186666666666667 0.0346666666666667 0.0333333333333333 0.032 0.0373333333333333 0.0346666666666667 0.0186666666666667 0.0253333333333333 0.0373333333333333 0.00933333333333333 0.0333333333333333 0.016 0.0493333333333333 0.0186666666666667 0.0173333333333333 0.024 0.0213333333333333 0.016
"السدي" 0.0106666666666667 0.0373333333333333 0 0.012 0.194666666666667 0.00266666666666667 0.008 0.00933333333333333 0 0.0173333333333333 0.00533333333333333 0 0.008 0.0653333333333333 0 0.028 0.044 0.0333333333333333
"الزمخشري" 0.257333333333333 0 0 0.00133333333333333 0 0 0.00266666666666667 0.00266666666666667 0 0 0 0 0 0 0.209333333333333 0 0 0
"فكان" 0.0253333333333333 0.028 0.00266666666666667 0.0453333333333333 0.0373333333333333 0.0173333333333333 0.0266666666666667 0.0546666666666667 0.0133333333333333 0.0373333333333333 0.032 0.0106666666666667 0.032 0.0213333333333333 0.0186666666666667 0.032 0.0253333333333333 0.0133333333333333
"أربعة" 0.0173333333333333 0.016 0.008 0.008 0.197333333333333 0.008 0.0226666666666667 0.0133333333333333 0.00933333333333333 0.004 0.00933333333333333 0.0106666666666667 0.0226666666666667 0.092 0.008 0.00533333333333333 0.008 0.0106666666666667
"أصحاب" 0.0213333333333333 0.0306666666666667 0.0173333333333333 0.0506666666666667 0.036 0.0226666666666667 0.024 0.0146666666666667 0.016 0.0266666666666667 0.0293333333333333 0.036 0.0146666666666667 0.0293333333333333 0.00133333333333333 0.032 0.04 0.028
"نزل" 0.0266666666666667 0.0213333333333333 0.0386666666666667 0.024 0.028 0.0333333333333333 0.0173333333333333 0.02 0.0266666666666667 0.016 0.02 0.0386666666666667 0.028 0.0266666666666667 0.008 0.032 0.024 0.0413333333333333
"الفعل" 0.0613333333333333 0.0106666666666667 0.044 0.008 0.004 0.032 0.0306666666666667 0.0466666666666667 0.00666666666666667 0.008 0.0493333333333333 0.00133333333333333 0.00133333333333333 0.0133333333333333 0.0826666666666667 0.0506666666666667 0 0.0173333333333333
"فيكون" 0.0733333333333333 0.00933333333333333 0.0493333333333333 0.02 0.048 0.00533333333333333 0.02 0.0333333333333333 0.00666666666666667 0.00533333333333333 0.00666666666666667 0.00666666666666667 0.028 0.0333333333333333 0.0866666666666667 0.0146666666666667 0.00533333333333333 0.0146666666666667
"هُمْ" 0 0.0333333333333333 0.036 0 0.016 0.0466666666666667 0.0226666666666667 0.02 0.092 0.028 0.008 0.0653333333333333 0.00266666666666667 0.0106666666666667 0.0173333333333333 0.00266666666666667 0.0213333333333333 0.044
"وكذلك" 0.0293333333333333 0.02 0.008 0.0213333333333333 0.00933333333333333 0.008 0.0533333333333333 0.02 0.00266666666666667 0.032 0.0333333333333333 0.008 0.00533333333333333 0.0493333333333333 0.068 0.052 0.0186666666666667 0.028
"فيهم" 0.028 0.012 0.028 0.036 0.0533333333333333 0.0226666666666667 0.0306666666666667 0.036 0.0266666666666667 0.00933333333333333 0.032 0.0146666666666667 0.0306666666666667 0.024 0.0173333333333333 0.0226666666666667 0.032 0.00933333333333333
"وبين" 0.0306666666666667 0.02 0.0266666666666667 0.024 0.02 0.0386666666666667 0.016 0.0333333333333333 0.0146666666666667 0.016 0.032 0.048 0.028 0.02 0.0293333333333333 0.02 0.0133333333333333 0.0346666666666667
"ومعنى" 0.0466666666666667 0.024 0.02 0.036 0.0173333333333333 0.0426666666666667 0.0306666666666667 0.0146666666666667 0 0.0133333333333333 0.0706666666666667 0 0 0.08 0.0173333333333333 0.028 0.00933333333333333 0.0133333333333333
"المشركين" 0.0226666666666667 0.0346666666666667 0.0213333333333333 0.0653333333333333 0.0333333333333333 0.024 0.0146666666666667 0.0146666666666667 0.02 0.0173333333333333 0.02 0.028 0.0346666666666667 0.0253333333333333 0.00933333333333333 0.0106666666666667 0.0333333333333333 0.0333333333333333
"بضم" 0.0506666666666667 0.032 0.0133333333333333 0.00666666666666667 0.00933333333333333 0.00933333333333333 0.032 0.0146666666666667 0.044 0.008 0.032 0.008 0 0.056 0.00133333333333333 0.0933333333333333 0 0.0506666666666667
"سفيان" 0.00666666666666667 0.0493333333333333 0.00266666666666667 0.0213333333333333 0.0266666666666667 0 0.0213333333333333 0.00133333333333333 0.00533333333333333 0.148 0.0106666666666667 0.012 0.016 0.008 0.00133333333333333 0.016 0.0893333333333333 0.0253333333333333
"فنزلت" 0.0266666666666667 0.012 0.0426666666666667 0.012 0.036 0.0186666666666667 0.012 0.0106666666666667 0.00266666666666667 0.0146666666666667 0.0266666666666667 0 0.104 0.0653333333333333 0.0146666666666667 0.0266666666666667 0.0133333333333333 0.0226666666666667
"عليك" 0.0293333333333333 0.0293333333333333 0.0306666666666667 0.044 0.0213333333333333 0.028 0.0346666666666667 0.02 0.016 0.012 0.0306666666666667 0.028 0.024 0.0226666666666667 0.00933333333333333 0.0173333333333333 0.0333333333333333 0.0293333333333333
"لاَّ" 0 0.028 0.044 0 0.0106666666666667 0.0346666666666667 0.02 0.0173333333333333 0.092 0 0.024 0.0893333333333333 0.0173333333333333 0 0.0146666666666667 0.00133333333333333 0.028 0.0386666666666667
"والأرض" 0.032 0.016 0.0186666666666667 0.064 0.024 0.032 0.0186666666666667 0.0266666666666667 0.00933333333333333 0.0173333333333333 0.028 0.04 0.0266666666666667 0.0253333333333333 0.0146666666666667 0.0186666666666667 0.0213333333333333 0.0266666666666667
"رواه" 0.008 0.00133333333333333 0.00133333333333333 0.00266666666666667 0.056 0 0.028 0.00266666666666667 0.0133333333333333 0 0.00133333333333333 0 0 0.169333333333333 0 0.00266666666666667 0.172 0
"روي" 0.024 0.0133333333333333 0.0733333333333333 0.0346666666666667 0.02 0.0266666666666667 0.048 0.0293333333333333 0.00666666666666667 0.00133333333333333 0.0373333333333333 0 0.00133333333333333 0.0333333333333333 0.00266666666666667 0.0573333333333333 0.0266666666666667 0.0226666666666667
"قلنا" 0.016 0.00666666666666667 0.004 0.0106666666666667 0.00133333333333333 0 0.016 0.0866666666666667 0.004 0.169333333333333 0 0.00266666666666667 0.004 0.0106666666666667 0.112 0.00933333333333333 0.00266666666666667 0.00133333333333333
"ٱلأَرْضِ" 0 0.032 0.048 0 0 0.0533333333333333 0.0133333333333333 0.028 0.0986666666666667 0.004 0.0106666666666667 0.0813333333333333 0 0 0.0186666666666667 0 0.0186666666666667 0.0493333333333333
"البحر" 0.02 0.028 0.0213333333333333 0.0413333333333333 0.028 0.012 0.028 0.0146666666666667 0.0186666666666667 0.0186666666666667 0.02 0.0293333333333333 0.0266666666666667 0.0373333333333333 0.008 0.0373333333333333 0.024 0.0413333333333333
"واحدة" 0.028 0.0226666666666667 0.024 0.0346666666666667 0.02 0.016 0.0306666666666667 0.0266666666666667 0.00933333333333333 0.02 0.028 0.0226666666666667 0.016 0.0146666666666667 0.044 0.0266666666666667 0.0306666666666667 0.0386666666666667
"شاء" 0.0333333333333333 0.0266666666666667 0.008 0.0293333333333333 0.0213333333333333 0.0213333333333333 0.0426666666666667 0.0133333333333333 0.0106666666666667 0.0213333333333333 0.02 0.024 0.032 0.04 0.0133333333333333 0.02 0.052 0.0226666666666667
"يقولون" 0.0306666666666667 0.0333333333333333 0.00933333333333333 0.0346666666666667 0.016 0.0306666666666667 0.028 0.032 0.0106666666666667 0.012 0.0373333333333333 0.0333333333333333 0.012 0.0306666666666667 0.0186666666666667 0.02 0.0106666666666667 0.052
"ٱلَّذِى" 0 0.0546666666666667 0.0586666666666667 0 0 0.064 0 0.0266666666666667 0.138666666666667 0.00133333333333333 0.016 0.00666666666666667 0.00133333333333333 0 0 0 0.032 0.0506666666666667
"مَّا" 0 0.0306666666666667 0.048 0 0.00666666666666667 0.0306666666666667 0.0133333333333333 0.0226666666666667 0.101333333333333 0.00266666666666667 0.0226666666666667 0.0693333333333333 0.02 0 0.02 0 0.0266666666666667 0.036
"إِنَّا" 0 0.0346666666666667 0.052 0 0.004 0.0533333333333333 0.02 0.012 0.0653333333333333 0.004 0.0306666666666667 0.0653333333333333 0.0133333333333333 0.00666666666666667 0.008 0 0.0306666666666667 0.0493333333333333
"البقرة" 0.044 0.0226666666666667 0.0106666666666667 0.0106666666666667 0.004 0.0306666666666667 0.0453333333333333 0.0666666666666667 0 0.008 0.06 0.00133333333333333 0.012 0.048 0.024 0.0226666666666667 0.0253333333333333 0.0133333333333333
"الحال" 0.0706666666666667 0.016 0.068 0.008 0.00533333333333333 0.0413333333333333 0.0266666666666667 0.0213333333333333 0.016 0 0.04 0.00133333333333333 0.00133333333333333 0.0226666666666667 0.0573333333333333 0.0386666666666667 0.00533333333333333 0.00933333333333333
"قومه" 0.0226666666666667 0.0293333333333333 0.032 0.0546666666666667 0.028 0.02 0.0173333333333333 0.0293333333333333 0.0146666666666667 0.0213333333333333 0.0266666666666667 0.028 0.0346666666666667 0.0186666666666667 0.00133333333333333 0.0173333333333333 0.028 0.0253333333333333
"هَـٰذَا" 0 0.04 0.0626666666666667 0 0 0.0653333333333333 0.0146666666666667 0.0266666666666667 0.00266666666666667 0.00266666666666667 0.028 0.110666666666667 0.004 0 0.0106666666666667 0 0.0293333333333333 0.052
"وَمَن" 0 0.032 0.0573333333333333 0 0.00666666666666667 0.0533333333333333 0.0133333333333333 0.02 0.0986666666666667 0.00533333333333333 0.00533333333333333 0.076 0.0146666666666667 0 0.0173333333333333 0 0.0226666666666667 0.0266666666666667
"وغيره" 0.024 0.00933333333333333 0.00533333333333333 0.012 0.00266666666666667 0.0173333333333333 0.0653333333333333 0.004 0.0693333333333333 0.00533333333333333 0.00533333333333333 0.0146666666666667 0.0173333333333333 0.00533333333333333 0.0226666666666667 0.122666666666667 0.0333333333333333 0.0106666666666667
"وَهُوَ" 0 0.036 0.0466666666666667 0 0.00933333333333333 0.0386666666666667 0.012 0.024 0.1 0.02 0.016 0.0693333333333333 0.0106666666666667 0 0.00533333333333333 0 0.0213333333333333 0.0373333333333333
"سليمان" 0.0146666666666667 0.0613333333333333 0.004 0.0226666666666667 0.032 0.0106666666666667 0.044 0.00666666666666667 0.0106666666666667 0.0266666666666667 0.00666666666666667 0.0146666666666667 0.0266666666666667 0.0546666666666667 0.00266666666666667 0.0133333333333333 0.0666666666666667 0.0266666666666667
"إما" 0.0306666666666667 0.00133333333333333 0.0426666666666667 0.00933333333333333 0.02 0.00666666666666667 0.0106666666666667 0.06 0.00133333333333333 0.00933333333333333 0.0226666666666667 0 0.00266666666666667 0 0.177333333333333 0.0333333333333333 0.012 0.004
"والكسائي" 0.016 0.0586666666666667 0.112 0 0.0106666666666667 0 0.00933333333333333 0.00666666666666667 0 0.00133333333333333 0 0 0 0.096 0 0.0413333333333333 0 0.092
"أكثر" 0.028 0.0333333333333333 0.016 0.0373333333333333 0.016 0.016 0.0386666666666667 0.0506666666666667 0.0226666666666667 0.0173333333333333 0.0186666666666667 0.0133333333333333 0.0146666666666667 0.028 0.044 0.0213333333333333 0.0173333333333333 0.00933333333333333
"الآيات" 0.0373333333333333 0.0186666666666667 0.0413333333333333 0.0173333333333333 0.0106666666666667 0.0226666666666667 0.02 0.0426666666666667 0.0253333333333333 0.032 0.02 0.004 0.0146666666666667 0.028 0.02 0.0453333333333333 0.0213333333333333 0.0213333333333333
"الشاعر" 0.0773333333333333 0.00133333333333333 0.00266666666666667 0.00133333333333333 0.154666666666667 0.00133333333333333 0.0573333333333333 0.00666666666666667 0 0.0226666666666667 0.004 0.00266666666666667 0.00533333333333333 0.0226666666666667 0.008 0.0693333333333333 0.00533333333333333 0
"الفراء" 0.032 0.012 0 0.00666666666666667 0.0533333333333333 0.00933333333333333 0.0506666666666667 0.024 0.00266666666666667 0 0 0 0.008 0.208 0.00133333333333333 0.0226666666666667 0 0.012
"جهنم" 0.0213333333333333 0.032 0.0146666666666667 0.0373333333333333 0.0586666666666667 0.024 0.0266666666666667 0.0133333333333333 0.0133333333333333 0.016 0.02 0.0293333333333333 0.036 0.0266666666666667 0.00133333333333333 0.0306666666666667 0.0186666666666667 0.0226666666666667
"فقالوا" 0.0146666666666667 0.036 0.0133333333333333 0.0613333333333333 0.02 0.0133333333333333 0.0253333333333333 0.028 0.00933333333333333 0.0186666666666667 0.0226666666666667 0.012 0.0186666666666667 0.0386666666666667 0.0173333333333333 0.0146666666666667 0.0373333333333333 0.0413333333333333
"جعفر" 0.04 0.068 0.00266666666666667 0.00533333333333333 0.008 0.00133333333333333 0.0253333333333333 0 0 0.129333333333333 0.00266666666666667 0.00133333333333333 0.00266666666666667 0.0333333333333333 0.008 0.048 0.0466666666666667 0.0186666666666667
"التوراة" 0.0253333333333333 0.032 0.016 0.0386666666666667 0.024 0.0266666666666667 0.02 0.00666666666666667 0.0386666666666667 0.012 0.024 0.024 0.048 0.0213333333333333 0.0213333333333333 0.0173333333333333 0.016 0.028
"وقت" 0.032 0.016 0.0306666666666667 0.028 0.02 0.04 0.0173333333333333 0.0413333333333333 0.0373333333333333 0.00533333333333333 0.0466666666666667 0.016 0.012 0.0146666666666667 0.016 0.0373333333333333 0.008 0.0173333333333333
"عَلَيْهِمْ" 0 0.0373333333333333 0.0386666666666667 0.00133333333333333 0.00933333333333333 0.0293333333333333 0.016 0.0146666666666667 0.0973333333333333 0.012 0.0186666666666667 0.0733333333333333 0.00666666666666667 0 0.016 0 0.024 0.0386666666666667
"اللام" 0.0506666666666667 0.02 0.0306666666666667 0.00666666666666667 0.00266666666666667 0.0453333333333333 0.0293333333333333 0.0186666666666667 0.0293333333333333 0.00933333333333333 0.0213333333333333 0.00933333333333333 0.004 0.064 0.00533333333333333 0.0586666666666667 0 0.0253333333333333
"حديث" 0.0106666666666667 0.00533333333333333 0.00266666666666667 0.0413333333333333 0.00133333333333333 0.00533333333333333 0.0733333333333333 0.004 0.0146666666666667 0.00533333333333333 0.00666666666666667 0 0.004 0.0306666666666667 0.02 0.0306666666666667 0.166666666666667 0.008
"إِذْ" 0 0.032 0.0466666666666667 0 0.00933333333333333 0.028 0.0146666666666667 0.0213333333333333 0.0986666666666667 0.00133333333333333 0.012 0.0853333333333333 0.004 0.004 0.012 0 0.0173333333333333 0.0413333333333333
"مَنْ" 0 0.0346666666666667 0.028 0 0.0253333333333333 0.012 0.0253333333333333 0.00266666666666667 0.0533333333333333 0.056 0.0133333333333333 0.0506666666666667 0.00933333333333333 0.06 0.012 0.00133333333333333 0.0146666666666667 0.0293333333333333
"أمره" 0.0106666666666667 0.012 0.032 0.0213333333333333 0.0173333333333333 0.0253333333333333 0.016 0.016 0.0293333333333333 0.032 0.032 0.0266666666666667 0.036 0.012 0.0133333333333333 0.0386666666666667 0.0226666666666667 0.032
"أنفسهم" 0.0333333333333333 0.0266666666666667 0.0386666666666667 0.0333333333333333 0.0173333333333333 0.0386666666666667 0.012 0.0186666666666667 0.02 0.0133333333333333 0.0306666666666667 0.028 0.032 0.0146666666666667 0.0133333333333333 0.0173333333333333 0.0173333333333333 0.02
"يدل" 0.0466666666666667 0.008 0.036 0.0293333333333333 0.00266666666666667 0.024 0.032 0.146666666666667 0.00266666666666667 0.00133333333333333 0.00933333333333333 0 0.00266666666666667 0.012 0.0426666666666667 0.0106666666666667 0.00533333333333333 0.0133333333333333
"مِّنَ" 0 0.036 0.00666666666666667 0 0.012 0.0146666666666667 0.032 0 0.105333333333333 0.00133333333333333 0.0146666666666667 0.113333333333333 0.00533333333333333 0 0.016 0.00266666666666667 0.0533333333333333 0.0106666666666667
"عنهما" 0.008 0.0666666666666667 0.0133333333333333 0.0213333333333333 0.004 0.0386666666666667 0.0133333333333333 0.0213333333333333 0.00266666666666667 0.00266666666666667 0.0373333333333333 0 0.08 0.00266666666666667 0.024 0.00533333333333333 0.0613333333333333 0.0186666666666667
"الثانية" 0.0186666666666667 0.0173333333333333 0.0173333333333333 0.0133333333333333 0.0253333333333333 0.0146666666666667 0.0466666666666667 0.122666666666667 0.0386666666666667 0.0133333333333333 0.0146666666666667 0 0.0133333333333333 0.00933333333333333 0.0186666666666667 0.0226666666666667 0.008 0.00533333333333333
"الشيطان" 0.0253333333333333 0.0186666666666667 0.0106666666666667 0.0306666666666667 0.0306666666666667 0.0266666666666667 0.0146666666666667 0.0226666666666667 0.0133333333333333 0.0186666666666667 0.0226666666666667 0.0266666666666667 0.044 0.0413333333333333 0.0106666666666667 0.02 0.0146666666666667 0.028
"المدينة" 0.016 0.0453333333333333 0.00666666666666667 0.024 0.016 0.0293333333333333 0.0266666666666667 0.00666666666666667 0.0186666666666667 0.0173333333333333 0.0133333333333333 0.0346666666666667 0.032 0.024 0.004 0.04 0.024 0.0373333333333333
"اْ" 0 0.0866666666666667 0.00133333333333333 0 0 0 0.0346666666666667 0 0 0.00133333333333333 0.00266666666666667 0.174666666666667 0.004 0 0.0453333333333333 0 0.0613333333333333 0.00266666666666667
"ألا" 0.0426666666666667 0.02 0.0106666666666667 0.0346666666666667 0.0253333333333333 0.0186666666666667 0.0386666666666667 0.0226666666666667 0.00266666666666667 0.02 0.052 0.00266666666666667 0.0133333333333333 0.0133333333333333 0.008 0.0346666666666667 0.032 0.02
"انتهى" 0.302666666666667 0.00133333333333333 0.00133333333333333 0.004 0.004 0.004 0.00533333333333333 0.00133333333333333 0 0.012 0.00133333333333333 0.004 0.00266666666666667 0 0.0413333333333333 0.00533333333333333 0.008 0.0133333333333333
"عكرمة" 0.0173333333333333 0.044 0 0.00533333333333333 0.0893333333333333 0.00133333333333333 0.008 0.00533333333333333 0.00266666666666667 0.0306666666666667 0.00533333333333333 0.00133333333333333 0.00933333333333333 0.0706666666666667 0 0.0386666666666667 0.0493333333333333 0.032
"والمراد" 0.0213333333333333 0.0106666666666667 0.052 0.0333333333333333 0.00933333333333333 0.0546666666666667 0.02 0.036 0.016 0.00266666666666667 0.044 0 0.00933333333333333 0.0253333333333333 0.036 0.0133333333333333 0.00666666666666667 0.02
"سمعت" 0.008 0.0373333333333333 0.00666666666666667 0.0213333333333333 0.0133333333333333 0.0133333333333333 0.028 0.00266666666666667 0.00266666666666667 0.162666666666667 0.00666666666666667 0.00266666666666667 0.00266666666666667 0.00266666666666667 0.004 0.00933333333333333 0.072 0.0133333333333333
"صالح" 0.012 0.032 0.00533333333333333 0.00533333333333333 0.0346666666666667 0.00533333333333333 0.0186666666666667 0.00533333333333333 0.00666666666666667 0.04 0.00533333333333333 0.0373333333333333 0.0106666666666667 0.076 0.00533333333333333 0.0106666666666667 0.06 0.0386666666666667
"الرسل" 0.0186666666666667 0.024 0.02 0.0333333333333333 0.0133333333333333 0.0306666666666667 0.0186666666666667 0.016 0.0253333333333333 0.0146666666666667 0.016 0.0466666666666667 0.0306666666666667 0.0186666666666667 0.016 0.0186666666666667 0.02 0.0266666666666667
"المال" 0.0253333333333333 0.0146666666666667 0.0253333333333333 0.0146666666666667 0.016 0.02 0.0293333333333333 0.0186666666666667 0.028 0.00666666666666667 0.024 0.0333333333333333 0.0266666666666667 0.024 0.0346666666666667 0.0293333333333333 0.0106666666666667 0.0266666666666667
"يعلم" 0.0293333333333333 0.0293333333333333 0.0213333333333333 0.0453333333333333 0.0173333333333333 0.0226666666666667 0.012 0.028 0.0133333333333333 0.004 0.016 0.0226666666666667 0.0213333333333333 0.0213333333333333 0.0226666666666667 0.0226666666666667 0.024 0.0346666666666667
"أنت" 0.02 0.032 0.00933333333333333 0.0533333333333333 0.0186666666666667 0.024 0.0426666666666667 0.0133333333333333 0.00933333333333333 0.0226666666666667 0.0306666666666667 0.0173333333333333 0.0146666666666667 0.0173333333333333 0.016 0.012 0.0333333333333333 0.02
"وروى" 0.016 0.0213333333333333 0 0.008 0.0186666666666667 0 0.0493333333333333 0.0173333333333333 0.00666666666666667 0 0.0186666666666667 0 0 0.0413333333333333 0.00133333333333333 0.04 0.0373333333333333 0.130666666666667
"الكلبي" 0.0213333333333333 0.0853333333333333 0.00133333333333333 0.012 0.134666666666667 0.00533333333333333 0.016 0.0146666666666667 0 0.00133333333333333 0.00666666666666667 0 0.008 0.00533333333333333 0 0.00133333333333333 0 0.0893333333333333
"حمزة" 0.016 0.0413333333333333 0.0493333333333333 0.004 0.0146666666666667 0.06 0.012 0.004 0.00133333333333333 0.00666666666666667 0.00666666666666667 0.004 0.00266666666666667 0.056 0.00666666666666667 0.0293333333333333 0.0146666666666667 0.0733333333333333
"كعب" 0.0133333333333333 0.0426666666666667 0.004 0.0213333333333333 0.0426666666666667 0.00666666666666667 0.0386666666666667 0.00533333333333333 0.00266666666666667 0.028 0.012 0.0106666666666667 0.0133333333333333 0.0613333333333333 0 0.0333333333333333 0.0466666666666667 0.02
"لقوله" 0.056 0.0306666666666667 0.0573333333333333 0.0173333333333333 0.0106666666666667 0.0186666666666667 0.0226666666666667 0.036 0.012 0.004 0.0413333333333333 0 0.0226666666666667 0.008 0.036 0.00933333333333333 0.016 0.004
"كله" 0.0293333333333333 0.0133333333333333 0.00666666666666667 0.0146666666666667 0.0186666666666667 0.028 0.0306666666666667 0.00933333333333333 0.0106666666666667 0.0186666666666667 0.036 0.004 0.0306666666666667 0.00666666666666667 0.024 0.0733333333333333 0.0226666666666667 0.024
"ذهب" 0.036 0.024 0.00266666666666667 0.0386666666666667 0.0173333333333333 0.0106666666666667 0.0426666666666667 0.012 0.00933333333333333 0.0226666666666667 0.012 0.00533333333333333 0.0253333333333333 0.0506666666666667 0.004 0.032 0.036 0.0186666666666667
"كَفَرُواْ" 0 0.028 0.036 0 0.004 0.0466666666666667 0.016 0.016 0.105333333333333 0.00133333333333333 0.0253333333333333 0.0586666666666667 0.012 0 0.012 0 0.0173333333333333 0.0213333333333333
"رب" 0.0226666666666667 0.0173333333333333 0.00266666666666667 0.0826666666666667 0.012 0.02 0.0173333333333333 0.0253333333333333 0.00533333333333333 0.00133333333333333 0.0186666666666667 0.0333333333333333 0.008 0.008 0.00666666666666667 0.0226666666666667 0.0453333333333333 0.0493333333333333
"منكم" 0.024 0.0106666666666667 0.024 0.036 0.0213333333333333 0.032 0.0146666666666667 0.00533333333333333 0.0226666666666667 0.0186666666666667 0.028 0.0293333333333333 0.02 0.0226666666666667 0.0106666666666667 0.0226666666666667 0.024 0.032
"وَٱللَّهُ" 0 0.02 0.032 0 0 0.0413333333333333 0.004 0.0146666666666667 0.130666666666667 0.004 0.00266666666666667 0.0786666666666667 0.00133333333333333 0 0.0173333333333333 0 0.0213333333333333 0.0306666666666667
"إِنَّهُ" 0 0.0386666666666667 0.0346666666666667 0 0.012 0.04 0.00933333333333333 0.0133333333333333 0.0733333333333333 0 0.0133333333333333 0.092 0.00666666666666667 0 0.004 0 0.0186666666666667 0.0413333333333333
"نوح" 0.0226666666666667 0.016 0.00666666666666667 0.0186666666666667 0.0226666666666667 0.0266666666666667 0.0186666666666667 0.0213333333333333 0.0133333333333333 0.024 0.0173333333333333 0.044 0.024 0.0333333333333333 0.00133333333333333 0.0306666666666667 0.0146666666666667 0.04
"الشرك" 0.008 0.0266666666666667 0.0173333333333333 0.036 0.02 0.032 0.0133333333333333 0.024 0.044 0.0253333333333333 0.0106666666666667 0.024 0.048 0.0186666666666667 0.00266666666666667 0.00666666666666667 0.00533333333333333 0.032
"أبا" 0.012 0.0373333333333333 0.00933333333333333 0.0333333333333333 0.0266666666666667 0.00266666666666667 0.0226666666666667 0.00533333333333333 0.004 0.0306666666666667 0.00533333333333333 0.0586666666666667 0.008 0.024 0.0146666666666667 0.0173333333333333 0.0653333333333333 0.016
"وأصحابه" 0.00666666666666667 0.0186666666666667 0.004 0.0186666666666667 0.0106666666666667 0.008 0.0133333333333333 0.004 0.0213333333333333 0.00533333333333333 0.00933333333333333 0.209333333333333 0.0133333333333333 0.012 0.00266666666666667 0.00666666666666667 0.00933333333333333 0.02
"علـى" 0 0 0 0 0 0 0.00133333333333333 0 0 0.390666666666667 0 0 0 0 0 0 0 0
