"Abu-Hayyan_1" "al-Baghawi_1" "al-Baydawi_1" "al-Khazin_1" "al-Mawardi_1" "al-Nasafi_1" "al-Qurtubi_1" "al-Razi_1" "al-Suyuti_1" "al-Tabari_1" "al-Zamakhshari_1" "Fairuzabadi_1" "Ibn-Abd-al-Salam_1" "Ibn-al-Jawzi_1" "Ibn-Arafa_1" "Ibn-Atiay_1" "Ibn-Kathir_1" "Samarqandi_1"
"إن" 0.262666666666667 0.210666666666667 0.162666666666667 0.456 0.192 0.206666666666667 0.274666666666667 0.278666666666667 0.122666666666667 0.2 0.161333333333333 0.148 0.145333333333333 0.125333333333333 0.322666666666667 0.278666666666667 0.238666666666667 0.232
"إلا" 0.301333333333333 0.209333333333333 0.202666666666667 0.36 0.209333333333333 0.261333333333333 0.241333333333333 0.352 0.0573333333333333 0.137333333333333 0.273333333333333 0.121333333333333 0.212 0.101333333333333 0.26 0.264 0.212 0.221333333333333
"وقيل" 0.476 0.390666666666667 0.373333333333333 0.808 0.0733333333333333 0.265333333333333 0.538666666666667 0.0813333333333333 0.0506666666666667 0.0226666666666667 0.456 0.00266666666666667 0.012 0.096 0.096 0.173333333333333 0.0666666666666667 0.00666666666666667
"أبو" 0.201333333333333 0.437333333333333 0.0453333333333333 0.0853333333333333 0.197333333333333 0.0573333333333333 0.3 0.0693333333333333 0.0133333333333333 0.444 0.0466666666666667 0.0573333333333333 0.0706666666666667 0.476 0.144 0.481333333333333 0.378666666666667 0.12
"كما" 0.261333333333333 0.186666666666667 0.209333333333333 0.149333333333333 0.146666666666667 0.229333333333333 0.270666666666667 0.182666666666667 0.148 0.214666666666667 0.321333333333333 0.110666666666667 0.108 0.134666666666667 0.153333333333333 0.216 0.314666666666667 0.170666666666667
"لهم" 0.221333333333333 0.14 0.221333333333333 0.277333333333333 0.164 0.249333333333333 0.134666666666667 0.161333333333333 0.272 0.14 0.246666666666667 0.252 0.130666666666667 0.193333333333333 0.128 0.190666666666667 0.122666666666667 0.224
"هذه" 0.22 0.158666666666667 0.0506666666666667 0.273333333333333 0.128 0.124 0.185333333333333 0.512 0.0333333333333333 0.148 0.136 0.110666666666667 0.0626666666666667 0.242666666666667 0.128 0.536 0.218666666666667 0.148
"عباس" 0.233333333333333 0.278666666666667 0.016 0.284 0.505333333333333 0.0533333333333333 0.253333333333333 0.0653333333333333 0.0226666666666667 0.148 0.088 0.06 0.0773333333333333 0.549333333333333 0.02 0.257333333333333 0.297333333333333 0.113333333333333
"أبي" 0.154666666666667 0.224 0.0373333333333333 0.125333333333333 0.138666666666667 0.0493333333333333 0.233333333333333 0.0493333333333333 0.016 0.434666666666667 0.0653333333333333 0.0973333333333333 0.0533333333333333 0.186666666666667 0.0693333333333333 0.250666666666667 0.808 0.129333333333333
"يكون" 0.38 0.08 0.164 0.145333333333333 0.126666666666667 0.132 0.186666666666667 0.44 0.0306666666666667 0.104 0.228 0.0866666666666667 0.08 0.133333333333333 0.297333333333333 0.245333333333333 0.0693333333333333 0.109333333333333
"محمد" 0.0413333333333333 0.456 0.024 0.165333333333333 0.109333333333333 0.0613333333333333 0.136 0.0986666666666667 0.0866666666666667 0.288 0.0533333333333333 0.550666666666667 0.106666666666667 0.0733333333333333 0.036 0.3 0.290666666666667 0.121333333333333
"لأن" 0.252 0.0666666666666667 0.181333333333333 0.192 0.189333333333333 0.3 0.202666666666667 0.288 0.0293333333333333 0.0773333333333333 0.138666666666667 0.0186666666666667 0.130666666666667 0.149333333333333 0.432 0.16 0.0253333333333333 0.126666666666667
