identifier,مصر_الثورة_النظام_أى_هى_الدولة_الآن,الشرطة_الأمن_الثورة_التحرير_المتظاهرين_ميدان_مبارك,المجلس_مجلس_وزير_وزارة_أمس_الوزراء_المصرى,المحافظة_وفى_المحافظ_بالمحافظة_مدينة_جنيه_سيناء,مصر_هل_الآن_الناس_الله_ولكن_أحد,AY_العام_النيابة_الدولة_وزير_المستشار_مبارك,الفريق_النادى_الفنى_الكرة_الأول_الأهلى_المباراة,جنيه_مصر_الشركة_شركة_المالية_الشركات_ألف,يا_اللى_أنا_مش_ده_إيه_لى,المسلمين_مصر_الإسلامية_الأقباط_الله_الكنيسة_الإسلام,مدير_النيابة_اللواء_المتهم_الأمن_التحقيقات_القبض,الحزب_الانتخابات_الشعب_الوطنى_مجلس_الإخوان_المجلس,مصر_الأمريكية_المتحدة_العربية_إسرائيل_المصرية_الدول,القذافى_أمس_ليبيا_تونس_الرئيس_وفى_البلاد,الفيلم_فيلم_المصرى_وفى_مصر_العام_السينما
AY041498,8.02246289610911e-05,8.02246289610911e-05,8.02246289610911e-05,0.433293221018853,0.0803048535900521,0.0081026875250702,8.02246289610911e-05,0.196630565583634,0.0843160850381067,8.02246289610911e-05,0.196630565583634,8.02246289610911e-05,8.02246289610911e-05,8.02246289610911e-05,8.02246289610911e-05
AY041499,0.000146735143066765,0.000146735143066765,0.000146735143066765,0.000146735143066765,0.146881878209831,0.000146735143066765,0.000146735143066765,0.000146735143066765,0.851210564930301,0.000146735143066765,0.000146735143066765,0.000146735143066765,0.000146735143066765,0.000146735143066765,0.000146735143066765
AY041500,0.137242955064737,0.000152322924600152,0.000152322924600152,0.000152322924600152,0.327646610814928,0.122010662604722,0.000152322924600152,0.000152322924600152,0.000152322924600152,0.000152322924600152,0.000152322924600152,0.411424219345011,0.000152322924600152,0.000152322924600152,0.000152322924600152
AY041501,0.300888585099111,0.000136705399863295,0.000136705399863295,0.19835953520164,0.307723855092276,0.000136705399863295,0.000136705399863295,0.000136705399863295,0.0889952153110048,0.000136705399863295,0.102665755297334,0.000136705399863295,0.000136705399863295,0.000136705399863295,0.000136705399863295
AY041502,0.000280504908835905,0.000280504908835905,0.000280504908835905,0.000280504908835905,0.336886395511921,0.0143057503506311,0.000280504908835905,0.000280504908835905,0.631416549789621,0.000280504908835905,0.000280504908835905,0.0143057503506311,0.000280504908835905,0.000280504908835905,0.000280504908835905
AY041503,0.153645433614735,0.000153491941673062,0.000153491941673062,0.353184957789716,0.31481197237145,0.000153491941673062,0.000153491941673062,0.168994627782041,0.000153491941673062,0.000153491941673062,0.000153491941673062,0.000153491941673062,0.000153491941673062,0.000153491941673062,0.00782808902532617
AY041504,0.825149700598802,0.000133067198935462,0.000133067198935462,0.000133067198935462,0.0932801064537592,0.000133067198935462,0.000133067198935462,0.000133067198935462,0.000133067198935462,0.000133067198935462,0.0799733865602129,0.000133067198935462,0.000133067198935462,0.000133067198935462,0.000133067198935462
AY041505,0.138273283480625,4.53206435531385e-05,4.53206435531385e-05,0.494040335372762,4.53206435531385e-05,4.53206435531385e-05,4.53206435531385e-05,0.351280308180376,0.0159075458871516,4.53206435531385e-05,4.53206435531385e-05,4.53206435531385e-05,4.53206435531385e-05,4.53206435531385e-05,4.53206435531385e-05
AY041506,0.173464003015454,0.00384470410855635,7.53863550697324e-05,0.252619675838673,7.53863550697324e-05,7.53863550697324e-05,7.53863550697324e-05,0.162156049754994,0.23377308707124,0.0528458349038824,7.53863550697324e-05,7.53863550697324e-05,7.53863550697324e-05,7.53863550697324e-05,0.120693554466642
AY041507,0.107404349022846,5.50509221029452e-05,5.50509221029452e-05,0.520286264794935,5.50509221029452e-05,0.0248279658684283,5.50509221029452e-05,0.280814753647124,0.0496008808147536,5.50509221029452e-05,5.50509221029452e-05,0.0138177814478392,5.50509221029452e-05,5.50509221029452e-05,0.00280759702725021
AY041508,0.209963616008956,5.59753708368318e-05,5.59753708368318e-05,5.59753708368318e-05,0.526224461237056,5.59753708368318e-05,5.59753708368318e-05,5.59753708368318e-05,0.0224461237055695,5.59753708368318e-05,0.0728239574587182,0.145591939546599,5.59753708368318e-05,0.0224461237055695,5.59753708368318e-05
AY041509,0.0853063652587745,3.96589331746976e-05,3.96589331746976e-05,0.0159032322030537,0.452151497124727,3.96589331746976e-05,3.96589331746976e-05,3.96589331746976e-05,3.96589331746976e-05,0.4164584572675,0.00400555225064446,0.0258179654967281,3.96589331746976e-05,3.96589331746976e-05,3.96589331746976e-05
