"Abu-Hayyan" "al-Baghawi" "al-Baydawi" "al-Khazin" "al-Mawardi" "al-Nasafi" "al-Qurtubi" "al-Razi" "al-Suyuti" "al-Tabari" "al-Zamakhshari" "Fairuzabadi" "Ibn-Abd-al-Salam" "Ibn-al-Jawzi" "Ibn-Arafa" "Ibn-Atiay" "Ibn-Kathir" "Samarqandi"
"إن" 0.247950855232333 0.207675628041106 0.173327809654097 0.480685901806039 0.195741164982912 0.214993248957349 0.281242604639717 0.26188097604853 0.107602959818402 0.204191602359325 0.173928408342177 0.14729519411783 0.127280661651635 0.120739669584933 0.329815303430079 0.281918450633817 0.228679611402099 0.275559325683941
"لم" 0.295954638268827 0.213242598298481 0.220249945444822 0.288136189094045 0.185576044365994 0.244815658879968 0.270667379764633 0.319307673799798 0.128730481609229 0.067481284327954 0.320607323088517 0.197938052617606 0.236897884543452 0.22341196495935 0.313538704040023 0.231398057732249 0.153030349248083 0.261968479742417
"فقال" 0.120793974907015 0.410613409054657 0.0978403017752052 0.349844536758384 0.15468008662886 0.143609361819849 0.293164991919271 0.223712424054103 0.0363589909888663 0.313732361917585 0.192981765192391 0.162214682166254 0.137670919745646 0.276440881473332 0.230442380838159 0.225787488835726 0.44291422841787 0.416523317164385
"هذه" 0.240778125488064 0.154019510454059 0.0696807765035922 0.265665499944561 0.132396940448918 0.117520147929511 0.194148555190774 0.493293346600424 0.0339023024085375 0.148672187133568 0.124166149529467 0.0986446896120979 0.0706537550392752 0.235311627008948 0.139636089504163 0.485415300880657 0.208625865789471 0.153143227819345
"كما" 0.282050243814967 0.170720421226186 0.194306968171307 0.145321929499565 0.150023159449681 0.248484117408799 0.24574487528195 0.200695379684362 0.141013924510873 0.211886239220132 0.342374984964879 0.111988827990813 0.119487968081127 0.160461076708238 0.149916047013672 0.208349234157346 0.310154102899921 0.185478936158478
"أبو" 0.201393187063635 0.44962168291485 0.0457670333128433 0.08297437185942 0.199646974875127 0.0655143534913691 0.286721065084559 0.0653419115705026 0.0117921051855783 0.45452832783965 0.0535409971824449 0.0607899637252572 0.0644196001828685 0.448466418483293 0.146489394510503 0.488119493997449 0.333041743868995 0.144772054594494
"يكون" 0.382598610572835 0.0804644353512877 0.166365975800915 0.142076709622397 0.130393961017013 0.143523045148582 0.199290225034499 0.448120327146716 0.0265322366675511 0.0914731166638597 0.239710388975877 0.07987949501703 0.0748098582768796 0.147053006793199 0.29811876777576 0.263064917314873 0.073071204572805 0.105608095154305
"عباس" 0.217437831521833 0.309420892957822 0.0113637108634891 0.26433790999481 0.513563926340431 0.0481647025667773 0.280838455918376 0.0712866014472919 0.0191621709265647 0.157002369221816 0.0794067274316181 0.0527742139352652 0.074290345372179 0.563205976781245 0.0231299043963952 0.273098231963158 0.329302576384796 0.132789787037353
"أبي" 0.147836322934803 0.241788126639492 0.0338725996892462 0.140724534673576 0.144164444611359 0.040892523012564 0.206295469537739 0.0425566935469315 0.0162141446301701 0.404955800099236 0.0784487374223895 0.0898875988010662 0.0607830098499647 0.185400086750212 0.0659630606860158 0.249948317056787 0.804806601401794 0.140734194568389
"لأن" 0.252339813856094 0.0917957861588537 0.207356504272787 0.209439607072711 0.177814499067363 0.320493800412982 0.196146846090737 0.335552077056428 0.0334109646924717 0.0868200176772365 0.128051331233561 0.0131588031234551 0.146502639125556 0.157611861851292 0.438611520405716 0.169580708539033 0.0292442256922134 0.143196304340404
"وقرأ" 0.361709481307519 0.180669899984049 0.260210247382366 0.0033189748743768 0.0365543746322655 0.0154938424923594 0.138914896607531 0.0273223907986136 0.000491337716065761 0.0395399923643781 0.116129677785383 0 0.00519512904700553 0.403314743044396 0.00513997875475448 0.705314219658321 0.0131067660235627 0.194014250034798
"لهم" 0.199592774053229 0.164640184207492 0.203984853796806 0.271983844705411 0.162091110526909 0.223107016056411 0.13599604473118 0.13033608362175 0.259426314082722 0.15076040716659 0.235026882264092 0.260581368895462 0.128839200365737 0.196025982157881 0.129356131994654 0.201525569283197 0.149960295945266 0.22513531755307
"الآية" 0.146339594046634 0.158244090720295 0.0419270980485324 0.228935511334791 0.140609156119728 0.0674133202592349 0.167295117928352 0.324871506107879 0.0191621709265647 0.135847792365558 0.0512524654937321 0.0514768671484457 0.063900087278168 0.192204682232095 0.291265462769421 0.536921334264048 0.216320678875377 0.135842803154652
"قاله" 0.131849523071317 0.0171746954748823 0.00842912618995067 0.0126366895217013 2.55119490241735 0.00776850041399633 0.166329651538482 0.0109951924183512 0.00835274117311793 0.0131194693378935 0.00558827505383372 0 0.222351523211837 1.08186364126977 0.0197032518932255 0.0837794409548278 0.0514627524799044 0.0012802970814479
"رسول" 0.0811415052320436 0.334610446320983 0.0682447031527117 0.359408101396403 0.161740589126325 0.121728085653759 0.212402605771334 0.0565159513913141 0.0157228069141043 0.190504681925502 0.206872620326206 0.0536082225839349 0.0358463904243381 0.143499868265713 0.0265565568995648 0.150272264228479 0.553278708688349 0.160463900874804
"كل" 0.180301601716828 0.15093990988615 0.151505738517891 0.220306176661411 0.150573978793455 0.196629377145374 0.15036577704552 0.239857473162375 0.0825447362990478 0.0478928724964625 0.18712738180266 0.141410799763327 0.204168571547317 0.116247966163395 0.121646163862523 0.200994839792985 0.148169431518624 0.147168508105922
"محمد" 0.0531736436888655 0.461900603127927 0.0385866665584408 0.14510066450794 0.103253589714701 0.0639174950729365 0.119605568810137 0.0752607673816357 0.113990350127256 0.295959793593069 0.0521572338357814 0.551372384398293 0.108058684177715 0.0798115361692742 0.0368365144090738 0.309440565626218 0.293209770247838 0.140241772613986
"أهل" 0.0964414005333272 0.230535739949052 0.0750816610623384 0.190066627805978 0.131645823161953 0.120390177249127 0.168103415371033 0.105017334815035 0.0928628283364288 0.375153268541011 0.131989734604834 0.309092871959749 0.162088026266572 0.151712311088675 0.0505431244217524 0.126465255667559 0.142659079436645 0.208951049318357
"حتى" 0.132189360065249 0.26828058793523 0.127061272567034 0.259273400186502 0.187428800340506 0.139530899102501 0.202950016233307 0.102036710364277 0.04520306987805 0.0757887683723641 0.198037823574431 0.087895244807022 0.155853871410166 0.156136974160638 0.0633930713086386 0.124266519208111 0.219685929611156 0.171428496392845
"يوم" 0.148465382902295 0.166258948608573 0.104770916642498 0.218511471729341 0.147068764787622 0.136013494748386 0.132538327893042 0.082165880692558 0.118903727287914 0.129174567477426 0.119908416155118 0.319193643371415 0.152217281077262 0.169712644949616 0.0282698831511496 0.164273413636917 0.185088790467878 0.19161779652337
"بعد" 0.166332132093916 0.124171074180471 0.159404141947734 0.168259733631369 0.178665765325922 0.160613746059374 0.123444981662874 0.140470206754327 0.142487937659071 0.109654249777446 0.152107524798636 0.286806307514742 0.231183242591746 0.160259955659513 0.126786142617277 0.163742684146706 0.104716369386452 0.136105428197
"لما" 0.191320997009434 0.0788061888916439 0.255621056456726 0.178610018239611 0.112066699215082 0.144494107700332 0.13521019999524 0.294452577685423 0.123325766732506 0.0297571354705509 0.165146833257581 0.0174678478082484 0.222871036116537 0.0828618720749457 0.153342699516842 0.120323957280825 0.115343476973124 0.0718936053428439
"وما" 0.215738646552173 0.0874132776583665 0.12041162857274 0.240982160878825 0.143413327324395 0.157700558404126 0.102316984619447 0.0858088661323732 0.0668219293849434 0.103253401415359 0.212194787044143 0.0860882260682377 0.0794854744191846 0.192506363805183 0.0599664188054689 0.154871919810312 0.118708727708904 0.0996662035711753
"يقول" 0.0517853734157812 0.12804031591964 0.0196679611098849 0.107313520938183 0.0345013207145629 0.041777268893047 0.108873174987864 0.095413100473704 0.0186708332104989 0.847908125581921 0.0624290156013995 0.311919234602463 0.0270146710444287 0.0883591807401121 0.0942329438371655 0.0722803020002436 0.224763325458122 0.17333252794987
"حدثنا" 0.000216917230169427 0.267411982646846 0.000156094929443531 0.00177011993300096 0.000200297943190496 0.00036684585288316 0.0079707108931103 0.000231826346170055 0 0.93511401000439 0.00042577333743495 0.000231669069074913 0.00155853871410166 0.00204473066204356 0 0.000707639320282105 0.86305889483985 0.0837773885091039
