term,حالة_قانون_أمن_الدولة_الطوارئ_القانون_التظاهر,المواطنين_الامن_النار_المسلحة_عناصر_وأضاف_مدينة,السيد_دمشق_العام_جامعة_العربية_وزيرا_العربي,بغداد_بجروح_الشرطة_العراقية_مقتل_مصدر_العراق,سورية_التعاون_البلدين_العلاقات_السورية_مجلس_الوزراء,الرئيس_الأسد_سورية_المنطقة_العلاقات_الخارجية_وزير,العامة_مجلس_المادة_رقم_القانون_مشروع_وزير,الشهيد_الوطن_الشرطي_للوطن_سورية_الله_الشهداء,العربية_الدولية_الدولي_الدول_اسرائيل_المتحدة_العربي,الاحتلال_الفلسطينية_الاسرائيلي_قوات_الفلسطينيين_غزة_مدينة,ليبيا_الليبية_الليبي_أمس_وكالة_الشعب_مصر,سورية_الوطنية_الرئيس_الشعب_السوري_الأسد_السورية,لبنان_اللبنانية_اللبناني_الله_السورية_المقاومة_السوريين,مم_المنطقة_منطقة_محافظة_درجات_الحرارة_دمشق,المتحدة_ونقلت_الولايات_قوله_أمس_العام_الامريكية
وكالة,1.24035007640557e-06,1.75646907560546e-06,1.78229609641509e-06,0.00620635714473729,9.57511389597979e-07,1.49259523503897e-06,8.25917966523893e-07,1.58084271563485e-06,9.09608559052697e-07,0.00960002499402864,0.00846209368826756,8.02746033631848e-07,0.00020871517151964,2.95749488353385e-06,0.00457227885415964
الأسد,0.000993520411200858,1.75646907560546e-06,0.00169496358769075,1.88014454551266e-06,0.000862717762027779,0.0258233901614093,0.000372489002902276,0.000950086472096546,9.09608559052697e-07,5.03911867829964e-07,8.633908466756e-07,0.0101956773731581,0.000899825010988647,2.95749488353385e-06,1.40642228673012e-06
السورية,0.00148966044176308,0.00202169590602188,0.0045466373419549,1.88014454551266e-06,0.00818767989245232,0.00388224020633637,0.00103322337612139,0.000317749385842605,9.09608559052697e-07,5.03911867829964e-07,8.633908466756e-07,0.00706496784199389,0.00988425292408573,0.000150832239060226,1.40642228673012e-06
ليبيا,1.24035007640557e-06,1.75646907560546e-06,1.78229609641509e-06,1.88014454551266e-06,9.57511389597979e-07,1.49259523503897e-06,8.25917966523893e-07,1.58084271563485e-06,9.09608559052697e-07,5.03911867829964e-07,0.024866519775104,8.02746033631848e-07,0.0059449268391124,2.95749488353385e-06,1.40642228673012e-06
قوات,0.000125275357716962,0.00289993044382461,0.000180011905737924,0.0022580535991607,9.57511389597979e-07,1.49259523503897e-06,8.25917966523893e-07,0.000317749385842605,9.09608559052697e-07,0.0140092538375408,0.00151179737252898,8.02746033631848e-07,1.38221967893801e-06,2.95749488353385e-06,1.40642228673012e-06
منطقة,0.000373345372998075,0.00105563791443888,1.78229609641509e-06,0.00583032823563476,9.57511389597979e-07,0.00388224020633637,0.00140488646105714,0.00268901345929488,0.000319272604227497,0.00274682359154113,0.0031954095235464,0.000201489254441594,0.000830714027041746,0.0322396517254025,0.000212369765296249
السوري,0.00217185298378614,0.00316340080516543,0.000982045149124714,1.88014454551266e-06,0.00421400762562071,0.00447927830035196,0.00049637669788086,0.00174050782991397,0.00363934384476984,5.03911867829964e-07,8.633908466756e-07,0.0106371876916556,0.00020871517151964,2.95749488353385e-06,1.40642228673012e-06
وزير,0.000373345372998075,1.75646907560546e-06,0.0045466373419549,0.00122397409912874,0.00483639002885939,0.00798687710269354,0.00627780246354811,1.58084271563485e-06,9.09608559052697e-07,0.000353242219348805,0.0060014297752421,0.000121214651078409,0.00131449091467005,2.95749488353385e-06,0.000493654222642274
الوطن,0.00279202802198893,1.75646907560546e-06,0.000714700734662451,1.88014454551266e-06,9.57511389597979e-07,1.49259523503897e-06,8.25917966523893e-07,0.0289310025388334,9.09608559052697e-07,5.03911867829964e-07,8.633908466756e-07,0.00549961307641179,0.00117626894677625,2.95749488353385e-06,1.40642228673012e-06
ونقلت,1.24035007640557e-06,1.75646907560546e-06,1.78229609641509e-06,0.00921458841755755,9.57511389597979e-07,7.61223569869876e-05,8.25917966523893e-07,1.58084271563485e-06,9.09608559052697e-07,0.00579549039191242,0.00418830899722334,8.02746033631848e-07,1.38221967893801e-06,2.95749488353385e-06,0.00963539908638809
الخارجية,1.24035007640557e-06,1.75646907560546e-06,0.00249699683107754,1.88014454551266e-06,0.000719091053588083,0.00828539614970133,0.00202432493595006,1.58084271563485e-06,0.00295713742548032,5.03911867829964e-07,0.00608776885990966,0.00224849164020281,0.000899825010988647,2.95749488353385e-06,0.00569741668354374
العامة,0.00564483319772173,0.0042172822505287,0.00347725968410584,1.88014454551266e-06,9.57511389597979e-07,1.49259523503897e-06,0.0106138717877985,1.58084271563485e-06,0.00309357870933822,5.03911867829964e-07,0.00142545828786142,8.02746033631848e-07,0.00020871517151964,0.00281257763424069,1.40642228673012e-06
