identifier,حالة_قانون_أمن_الدولة_الطوارئ_القانون_التظاهر,المواطنين_الامن_النار_المسلحة_عناصر_وأضاف_مدينة,السيد_دمشق_العام_جامعة_العربية_وزيرا_العربي,بغداد_بجروح_الشرطة_العراقية_مقتل_مصدر_العراق,سورية_التعاون_البلدين_العلاقات_السورية_مجلس_الوزراء,الرئيس_الأسد_سورية_المنطقة_العلاقات_الخارجية_وزير,العامة_مجلس_المادة_رقم_القانون_مشروع_وزير,الشهيد_الوطن_الشرطي_للوطن_سورية_الله_الشهداء,العربية_الدولية_الدولي_الدول_اسرائيل_المتحدة_العربي,الاحتلال_الفلسطينية_الاسرائيلي_قوات_الفلسطينيين_غزة_مدينة,ليبيا_الليبية_الليبي_أمس_وكالة_الشعب_مصر,سورية_الوطنية_الرئيس_الشعب_السوري_الأسد_السورية,لبنان_اللبنانية_اللبناني_الله_السورية_المقاومة_السوريين,مم_المنطقة_منطقة_محافظة_درجات_الحرارة_دمشق,المتحدة_ونقلت_الولايات_قوله_أمس_العام_الامريكية
TH20110406$343,2.58966722776123e-05,0.0285122361776512,2.58966722776123e-05,2.58966722776123e-05,2.58966722776123e-05,2.58966722776123e-05,2.58966722776123e-05,2.58966722776123e-05,0.102317752168846,0.727722387673184,0.00132073028615823,2.58966722776123e-05,2.58966722776123e-05,2.58966722776123e-05,0.139867926971384
TH20110406$344,0.000144613159797542,0.000144613159797542,0.000144613159797542,0.903976861894432,0.000144613159797542,0.000144613159797542,0.000144613159797542,0.000144613159797542,0.000144613159797542,0.000144613159797542,0.000144613159797542,0.000144613159797542,0.000144613159797542,0.000144613159797542,0.0941431670281996
TH20110406$345,0.000189933523266857,0.000189933523266857,0.000189933523266857,0.000189933523266857,0.000189933523266857,0.000189933523266857,0.0761633428300095,0.000189933523266857,0.000189933523266857,0.000189933523266857,0.000189933523266857,0.000189933523266857,0.788414055080722,0.133143399810066,0.000189933523266857
TH20110406$346,0.000321027287319422,0.000321027287319422,0.000321027287319422,0.000321027287319422,0.000321027287319422,0.000321027287319422,0.000321027287319422,0.000321027287319422,0.289245585874799,0.000321027287319422,0.000321027287319422,0.706581059390048,0.000321027287319422,0.000321027287319422,0.000321027287319422
TH20110406$347,5.96480763495377e-05,5.96480763495377e-05,5.96480763495377e-05,5.96480763495377e-05,5.96480763495377e-05,5.96480763495377e-05,5.96480763495377e-05,5.96480763495377e-05,5.96480763495377e-05,5.96480763495377e-05,5.96480763495377e-05,0.826185505517447,0.173039069490009,5.96480763495377e-05,5.96480763495377e-05
TH20110406$348,0.000140548137737175,0.000140548137737175,0.000140548137737175,0.000140548137737175,0.000140548137737175,0.0985242445537597,0.000140548137737175,0.000140548137737175,0.126633872101195,0.000140548137737175,0.000140548137737175,0.576387912860155,0.000140548137737175,0.000140548137737175,0.196907940969782
TH20110406$349,0.175559588626739,0.000120992135511192,0.617180883242589,0.000120992135511192,0.000120992135511192,0.000120992135511192,0.000120992135511192,0.000120992135511192,0.000120992135511192,0.000120992135511192,0.000120992135511192,0.205807622504537,0.000120992135511192,0.000120992135511192,0.000120992135511192
TH20110406$350,7.65403750478378e-05,7.65403750478378e-05,7.65403750478378e-05,7.65403750478378e-05,7.65403750478378e-05,7.65403750478378e-05,7.65403750478378e-05,7.65403750478378e-05,7.65403750478378e-05,7.65403750478378e-05,7.65403750478378e-05,7.65403750478378e-05,7.65403750478378e-05,0.99892843474933,7.65403750478378e-05
TH20110406$351,0.000361663652802893,0.000361663652802893,0.506690777576854,0.000361663652802893,0.163110307414105,0.000361663652802893,0.000361663652802893,0.000361663652802893,0.325858951175407,0.000361663652802893,0.000361663652802893,0.000361663652802893,0.000361663652802893,0.000361663652802893,0.000361663652802893
TH20110406$352,0.000583090379008746,0.000583090379008746,0.000583090379008746,0.000583090379008746,0.000583090379008746,0.000583090379008746,0.000583090379008746,0.991836734693878,0.000583090379008746,0.000583090379008746,0.000583090379008746,0.000583090379008746,0.000583090379008746,0.000583090379008746,0.000583090379008746
