"Abu-Hayyan_1" "al-Baghawi_1" "al-Baydawi_1" "al-Khazin_1" "al-Mawardi_1" "al-Nasafi_1" "al-Qurtubi_1" "al-Razi_1" "al-Suyuti_1" "al-Zamakhshari_1" "Fairuzabadi_1" "Ibn-Abd-al-Salam_1" "Ibn-al-Jawzi_1" "Ibn-Arafa_1" "Ibn-Atiya_1" "Samarqandi_1"
"أنه" 0.324 0.138666666666667 0.22 0.278666666666667 0.978666666666667 0.214666666666667 0.256 0.668 0.084 0.261333333333333 0.0333333333333333 0.088 0.610666666666667 0.374666666666667 0.261333333333333 0.285333333333333
"وسلم" 0.176 0.56 0.169333333333333 0.552 0.346666666666667 0.153333333333333 0.454666666666667 0.166666666666667 0.208 0.318666666666667 0.301333333333333 0.506666666666667 0.266666666666667 0.133333333333333 0.288 0.428
"فيه" 0.309333333333333 0.172 0.288 0.277333333333333 1.04266666666667 0.230666666666667 0.3 0.282666666666667 0.277333333333333 0.302666666666667 0.084 0.250666666666667 0.393333333333333 0.404 0.217333333333333 0.141333333333333
"هو" 0.525333333333333 0.26 0.201333333333333 0.358666666666667 0.261333333333333 0.356 0.292 0.444 0.184 0.424 0.108 0.125333333333333 0.246666666666667 0.46 0.508 0.197333333333333
"ثم" 0.252 0.376 0.136 0.426666666666667 0.221333333333333 0.250666666666667 0.301333333333333 0.437333333333333 0.0653333333333333 0.281333333333333 0.16 0.204 0.326666666666667 0.173333333333333 0.369333333333333 0.897333333333333
"له" 0.309333333333333 0.248 0.314666666666667 0.361333333333333 0.224 0.288 0.332 0.290666666666667 0.268 0.388 0.170666666666667 0.246666666666667 0.245333333333333 0.321333333333333 0.26 0.284
"قاله" 0.116 0.012 0.00666666666666667 0.0186666666666667 2.48666666666667 0.0133333333333333 0.153333333333333 0.0133333333333333 0.008 0.00533333333333333 0 0.257333333333333 1.09333333333333 0.0213333333333333 0.0653333333333333 0.00266666666666667
"لم" 0.3 0.266666666666667 0.232 0.286666666666667 0.22 0.261333333333333 0.289333333333333 0.338666666666667 0.149333333333333 0.309333333333333 0.206666666666667 0.237333333333333 0.256 0.349333333333333 0.22 0.269333333333333
"إذا" 0.24 0.258666666666667 0.212 0.301333333333333 0.285333333333333 0.272 0.324 0.325333333333333 0.104 0.349333333333333 0.124 0.214666666666667 0.165333333333333 0.296 0.208 0.273333333333333
"وقيل" 0.469333333333333 0.410666666666667 0.365333333333333 0.870666666666667 0.056 0.242666666666667 0.498666666666667 0.056 0.0613333333333333 0.506666666666667 0 0.0226666666666667 0.0893333333333333 0.1 0.173333333333333 0.00933333333333333
"الذي" 0.297333333333333 0.213333333333333 0.18 0.298666666666667 0.264 0.238666666666667 0.194666666666667 0.250666666666667 0.112 0.292 0.205333333333333 0.234666666666667 0.238666666666667 0.192 0.369333333333333 0.241333333333333
"إن" 0.278666666666667 0.214666666666667 0.169333333333333 0.462666666666667 0.213333333333333 0.194666666666667 0.246666666666667 0.282666666666667 0.121333333333333 0.182666666666667 0.144 0.142666666666667 0.109333333333333 0.392 0.256 0.3
"إلا" 0.284 0.204 0.202666666666667 0.368 0.198666666666667 0.264 0.272 0.321333333333333 0.084 0.254666666666667 0.109333333333333 0.213333333333333 0.106666666666667 0.294666666666667 0.229333333333333 0.233333333333333
"فقال" 0.118666666666667 0.449333333333333 0.1 0.354666666666667 0.158666666666667 0.144 0.274666666666667 0.233333333333333 0.0413333333333333 0.189333333333333 0.181333333333333 0.149333333333333 0.321333333333333 0.272 0.217333333333333 0.366666666666667
"لهم" 0.2 0.157333333333333 0.190666666666667 0.290666666666667 0.177333333333333 0.257333333333333 0.152 0.124 0.28 0.261333333333333 0.273333333333333 0.14 0.188 0.148 0.197333333333333 0.216
"لأن" 0.242666666666667 0.0866666666666667 0.228 0.22 0.156 0.336 0.178666666666667 0.312 0.028 0.112 0.0106666666666667 0.156 0.156 0.517333333333333 0.2 0.138666666666667
