"Abu-Hayyan" "al-Baghawi" "al-Baydawi" "al-Khazin" "al-Mawardi" "al-Nasafi" "al-Qurtubi" "al-Razi" "al-Suyuti" "al-Zamakhshari" "Fairuzabadi" "Ibn-Abd-al-Salam" "Ibn-al-Jawzi" "Ibn-Arafa" "Ibn-Atiya" "Samarqandi"
"إلى" 0.714130442951949 0.600548509420699 0.642905806503324 0.762696802816217 0.484978874255654 0.627261610021151 0.552353063196066 0.731145394815032 0.39411088798445 0.632448184274617 0.535244632631363 0.653349054722967 0.320581695115289 0.455028060063704 0.640101451188906 0.565717300864379
"عن" 0.548956432102613 0.940267918139424 0.52189524148261 0.667572309035545 0.553396618064504 0.480410198893149 0.796683406819921 0.599416893770006 0.381224428431825 0.460108329438421 0.471125328757158 0.515502087641051 0.84756438073977 0.512664947671773 0.577581446434649 0.72625379795208
"تعالى" 0.358243177538647 0.316076078454669 0.261714699355278 0.644795674608662 0.523779202418638 0.159942313620436 0.713710082023901 1.19754086906996 0.262561613384736 0.247614733960053 0.0692022159631419 0.669298290583685 1.34632186563861 1.06577683401588 0.811644990784191 0.838573317983878
"أو" 0.587395378712152 0.146731220482966 1.93404000581101 0.23244985134795 0.15671497955036 1.08025868141777 0.257379293835811 0.256544861038615 0.401091053575456 0.71259505059639 0.15160135046912 7.07975187545925 0.160796071914309 0.645128671823651 0.286142429542083 0.122767081020671
"وقال" 0.863224992209591 0.73425015593905 0.0266755501675675 0.323433138869189 0.156210423917552 0.0759531570353124 0.717872247177715 0.187125084723456 0.0257729191052502 0.0772022586746803 0.0259741470966779 0.071201945806775 0.559114954708321 0.197178826027605 0.777381899406909 0.624711414965587
"قوله" 0.357339836999788 0.37516460233067 0.137698438541035 0.48991949051331 0.711221620007044 0.170332947446939 0.586122846417006 0.767546022510374 0.024162111661172 0.359295671266144 0.078948350152021 0.0581007877783284 1.32385622257895 0.969715354669094 0.445040050056552 0.565783216075665
"ذلك" 0.569870572258282 0.268670607221711 0.282973735228258 0.515851329709285 0.225738190118581 0.304698316263675 0.379769447547945 0.658526474080383 0.308738093448309 0.374768245993594 0.263052358657738 0.212466606287417 0.293299579855425 0.503564386470499 0.584880093118567 0.291872555575586
"ابن" 0.546325904453454 0.560707319729508 0.138262006502322 0.375346117335656 1.11269653703287 0.0946606183528836 0.362760815892361 0.12470032884884 0.0472503516929586 0.179139221584938 0.0932644419988435 0.172023901069168 1.33561110927733 1.57439708782042 0.613643856959703 0.280765842473851
"يعني" 0.0522058564217539 0.481024940347125 0.0894820685198451 1.17745832972827 0.447036290668445 0.134365368816736 0.11710307905729 0.0685744065462783 0.0107387162938542 0.139306710867904 0.60971628956744 0.0381642429524314 0.2471557552801 0.00808938773446585 0.0234925190138616 3.46351477703685
"كان" 0.46550944648495 0.308907832595717 0.245339919146783 0.428614847851343 0.315347270505393 0.301587606760522 0.414709136649957 0.633811840248983 0.0918160243124537 0.366362729619166 0.162699819066983 0.328668181844073 0.311891836180666 0.450983366196471 0.354212446878904 0.324335797134073
"بن" 0.341679525418124 1.49923268086455 0.0873530339994289 0.37512426700033 0.664752046225369 0.0890224573784193 0.654629835029772 0.0931398574772873 0.0617476186896618 0.191774265307007 0.2822648337095 0.256896620470844 0.517652875838083 0.11426260174933 0.578747202502219 0.388174679264821
"هذا" 0.414539359920356 0.237304581142761 0.124360663457251 0.365486102432244 0.232549691161497 0.185303236930862 0.45594831895774 0.673162974196497 0.0751710140569796 0.195896716012937 0.10725410829867 0.0962650307307598 0.511421775439225 0.484352090601143 0.659057658548527 0.222299050062933
"وهو" 0.465979183565157 0.261502361362759 0.470986268979717 0.389100838125917 0.428519098944369 0.50343809007621 0.327056188329649 0.384460910184766 0.249138218017418 0.392864198442999 0.221503049747253 0.191960445895065 0.27039607568665 0.37716770311947 0.251068377422143 0.258321713030877
"به" 0.443836500276639 0.269027039336244 0.593624919221926 0.423241139728983 0.329575739350597 0.440489426936022 0.301138273425903 0.274861206031034 0.439750432233331 0.503046062765115 0.258995355430788 0.440312832869097 0.328261105336584 0.38323474392032 0.317263048041568 0.270021663034189
"هو" 0.504157968099505 0.249898515856279 0.204512551284684 0.412025372776351 0.255204239074605 0.363326549538373 0.290586622306235 0.407302469822371 0.197592379806918 0.383173762368021 0.101471712894742 0.121897731221199 0.21882950968313 0.477273876333485 0.547525213909903 0.198899150056308
"أنه" 0.332226970019501 0.156315284007089 0.236698543740388 0.25779008964972 0.960472102614506 0.210966590331872 0.258346716006697 0.749610922707842 0.0757079498716723 0.285198635201125 0.0339948891085785 0.0934169528984888 0.659823009803373 0.360988927650538 0.285559551508298 0.287093702757332
"ولا" 0.445650408078668 0.282927891803051 0.262591360628391 0.469312059365178 0.277909242550993 0.344943120460713 0.364583169284031 0.285486343714419 0.159469936963735 0.386332523298539 0.360933390535524 0.333225106375707 0.279389069235272 0.305374386976086 0.325980876025137 0.311185712482462
